investor	('investor',)
presentation	('presentation',)
investor~presentation	('investor~presentation',)
investor~presentation~presentation	('presentation~investor~presentation',)
investor~investor~presentation~presentation	('investor~presentation~investor~presentation',)
q2	('q2',)
presentation~q2	('presentation~q2',)
investor~presentation~q2	('investor~presentation~q2',)
investor~presentation~q2~q2	('q2~investor~presentation~q2',)
fy24	('fy24',)
fy24~q2	('q2~fy24', 'fy24~q2')
fy24~presentation~q2	('presentation~q2~fy24',)
fy24~investor~presentation~q2	('investor~presentation~q2~fy24',)
august	('august',)
28	('28',)
28~august	('august~28',)
28~28~august	('28~august~28',)
28~28~august~august	('august~28~august~28',)
2023	('2023',)
2023~28	('28~2023',)
2023~28~august	('august~28~2023',)
2023~2023~28~august	('2023~august~28~2023',)
except	('except',)
historical	('historical',)
except~historical	('except~historical',)
except~historical~historical	('historical~except~historical',)
except~except~historical~historical	('except~historical~except~historical',)
information	('information',)
historical~information	('historical~information',)
except~historical~information	('except~historical~information',)
except~historical~information~information	('information~except~historical~information',)
contained	('contained',)
contained~information	('information~contained',)
contained~historical~information	('historical~information~contained',)
contained~except~historical~information	('except~historical~information~contained',)
herein	('herein',)
contained~herein	('contained~herein',)
contained~herein~information	('information~contained~herein',)
contained~herein~historical~information	('historical~information~contained~herein',)
certain	('certain',)
certain~herein	('herein~certain',)
certain~contained~herein	('contained~herein~certain',)
certain~contained~herein~information	('information~contained~herein~certain',)
matters	('matters',)
certain~matters	('certain~matters',)
certain~herein~matters	('herein~certain~matters',)
certain~contained~herein~matters	('contained~herein~certain~matters',)
matters~presentation	('matters~presentation',)
certain~matters~presentation	('certain~matters~presentation',)
certain~herein~matters~presentation	('herein~certain~matters~presentation',)
including	('including',)
including~presentation	('presentation~including',)
including~matters~presentation	('matters~presentation~including',)
certain~including~matters~presentation	('certain~matters~presentation~including',)
not	('not',)
including~not	('including~not', 'not~including')
including~not~presentation	('presentation~including~not',)
including~matters~not~presentation	('matters~presentation~including~not',)
limited	('limited',)
limited~not	('not~limited',)
including~limited~not	('including~not~limited',)
including~limited~not~presentation	('presentation~including~not~limited',)
statements	('statements',)
limited~statements	('limited~statements',)
limited~not~statements	('not~limited~statements',)
including~limited~not~statements	('including~not~limited~statements',)
financial	('financial',)
financial~statements	('statements~financial', 'financial~statements')
financial~limited~statements	('limited~statements~financial',)
financial~limited~not~statements	('not~limited~statements~financial',)
position	('position',)
financial~position	('financial~position',)
financial~position~statements	('statements~financial~position',)
financial~limited~position~statements	('limited~statements~financial~position',)
markets	('markets',)
markets~position	('position~markets',)
financial~markets~position	('financial~position~markets',)
financial~markets~position~statements	('statements~financial~position~markets',)
market	('market',)
market~markets	('markets~market',)
market~markets~position	('position~markets~market', 'markets~market~position')
financial~market~markets~position	('financial~position~markets~market',)
opportunity	('opportunity',)
market~opportunity	('market~opportunity',)
market~markets~opportunity	('markets~market~opportunity',)
market~markets~opportunity~position	('position~markets~market~opportunity',)
demand	('demand',)
demand~opportunity	('opportunity~demand',)
demand~market~opportunity	('market~opportunity~demand',)
demand~market~markets~opportunity	('markets~market~opportunity~demand',)
growth	('growth',)
demand~growth	('demand~growth',)
demand~growth~opportunity	('opportunity~demand~growth',)
demand~growth~market~opportunity	('market~opportunity~demand~growth',)
drivers	('drivers',)
drivers~growth	('growth~drivers',)
demand~drivers~growth	('demand~growth~drivers',)
demand~drivers~growth~opportunity	('opportunity~demand~growth~drivers',)
csps	('csps',)
csps~drivers	('drivers~csps',)
csps~drivers~growth	('growth~drivers~csps',)
csps~demand~drivers~growth	('demand~growth~drivers~csps',)
undertaking	('undertaking',)
csps~undertaking	('csps~undertaking',)
csps~drivers~undertaking	('drivers~csps~undertaking',)
csps~drivers~growth~undertaking	('growth~drivers~csps~undertaking',)
generational	('generational',)
generational~undertaking	('undertaking~generational',)
csps~generational~undertaking	('csps~undertaking~generational',)
csps~drivers~generational~undertaking	('drivers~csps~undertaking~generational',)
transition	('transition',)
generational~transition	('generational~transition',)
generational~transition~undertaking	('undertaking~generational~transition',)
csps~generational~transition~undertaking	('csps~undertaking~generational~transition',)
update	('update',)
transition~update	('transition~update',)
generational~transition~update	('generational~transition~update',)
generational~transition~undertaking~update	('undertaking~generational~transition~update',)
infrastructure	('infrastructure',)
infrastructure~update	('update~infrastructure',)
infrastructure~transition~update	('transition~update~infrastructure',)
generational~infrastructure~transition~update	('generational~transition~update~infrastructure',)
new	('new',)
infrastructure~new	('infrastructure~new',)
infrastructure~new~update	('update~infrastructure~new',)
infrastructure~new~transition~update	('transition~update~infrastructure~new',)
