B2X0	('Income', 'Tax', 'Cash', 'Products', 'Data', 'Accelerated Computing', 'Data Center', 'Non-GAAP')
B7X0	('Non-GAAP',)
B11X0	('Data', 'Data Center')
B12X0	('Revenue',)
B13X0	('Data', 'Data Center')
B15X0	('Revenue', 'Data', 'Accelerated Computing', 'Data Center')
B16X0	('Accelerated Computing',)
B17X0	('Data', 'Data Center')
B24X0	('Non-GAAP',)
B25X0	('Revenue', 'Non-GAAP')
B29X0	('Income',)
B31X0	('Income',)
B35X0	('Cash',)
B38X0	('Revenue', 'Non-GAAP')
B39X0	('Data', 'Data Center')
B40X0	('Data', 'Data Center', 'Revenue')
B41X0	('Data', 'Data Center')
B42X0	('Data', 'Data Center')
B43X0	('Data', 'Data Center', 'Revenue')
B44X0	('Data', 'Data Center')
B45X0	('Data', 'Data Center')
B46X0	('Data', 'Data Center', 'Revenue')
B47X0	('Data', 'Data Center')
B48X0	('Data', 'Data Center')
B49X0	('Data', 'Data Center')
B50X0	('Data', 'Data Center')
B51X0	('Data', 'Data Center')
B60X0	('Revenue',)
B73X0	('Data',)
B75X0	('Revenue',)
B85X0	('Revenue',)
B87X0	('Cash',)
B88X0	('Cash',)
B89X0	('Cash',)
B90X0	('Cash', 'Revenue')
B91X0	('Cash',)
B92X0	('Cash',)
B93X0	('Cash',)
B94X0	('Cash', 'Stock')
B95X0	('Cash',)
B96X0	('Cash',)
B97X0	('Cash', 'Securities')
B98X0	('Cash',)
B99X0	('Cash',)
B100X0	('Cash',)
B102X0	('Revenue',)
B105X0	('Data', 'Data Center')
B110X0	('Non-GAAP',)
B116X0	('Non-GAAP',)
B117X0	('Income',)
B118X0	('Income',)
B120X0	('Non-GAAP',)
B122X0	('Tax',)
B124X0	('Non-GAAP',)
B125X0	('Non-GAAP',)
B130X0	('Data',)
B132X0	('Data',)
B139X0	('Data',)
B148X0	('Data',)
B151X0	('Data', 'Data Center')
B157X0	('Accelerated Computing',)
B158X0	('Accelerated Computing',)
B159X0	('Accelerated Computing',)
B160X0	('Accelerated Computing',)
B161X0	('Accelerated Computing', 'Data', 'Data Center')
B162X0	('Accelerated Computing',)
B171X0	('Data', 'Data Center')
B176X0	('Accelerated Computing',)
B177X0	('Management',)
B180X0	('Data',)
B181X0	('Data',)
B182X0	('Data', 'Accelerated Computing')
B188X0	('Data',)
B189X0	('Data',)
B190X0	('Data',)
B191X0	('Data',)
B192X0	('Data',)
B193X0	('Data',)
B194X0	('Data',)
B195X0	('Data',)
B199X0	('Products', 'Data')
B205X0	('Data', 'Assests')
B207X0	('Accelerated Computing',)
B208X0	('Accelerated Computing',)
B209X0	('Accelerated Computing',)
B210X0	('Accelerated Computing',)
B211X0	('Accelerated Computing',)
B212X0	('Accelerated Computing',)
B214X0	('Accelerated Computing',)
B215X0	('Accelerated Computing',)
B216X0	('Accelerated Computing',)
B217X0	('Accelerated Computing',)
B218X0	('Accelerated Computing',)
B219X0	('Accelerated Computing',)
B220X0	('Accelerated Computing',)
B221X0	('Accelerated Computing',)
B222X0	('Accelerated Computing',)
B223X0	('Accelerated Computing',)
B224X0	('Accelerated Computing',)
B225X0	('Accelerated Computing',)
B226X0	('Accelerated Computing',)
B227X0	('Accelerated Computing',)
B228X0	('Accelerated Computing',)
B229X0	('Accelerated Computing',)
B230X0	('Accelerated Computing',)
B231X0	('Accelerated Computing',)
B232X0	('Accelerated Computing',)
B233X0	('Accelerated Computing',)
B234X0	('Accelerated Computing',)
B235X0	('Accelerated Computing',)
B236X0	('Accelerated Computing',)
B237X0	('Accelerated Computing',)
B238X0	('Accelerated Computing',)
B239X0	('Accelerated Computing',)
B240X0	('Accelerated Computing',)
B241X0	('Accelerated Computing',)
B242X0	('Accelerated Computing',)
B243X0	('Accelerated Computing',)
B244X0	('Accelerated Computing',)
B245X0	('Accelerated Computing',)
B246X0	('Accelerated Computing',)
B247X0	('Accelerated Computing',)
B248X0	('Accelerated Computing',)
B249X0	('Accelerated Computing',)
B250X0	('Accelerated Computing',)
B251X0	('Accelerated Computing',)
B252X0	('Accelerated Computing',)
B253X0	('Accelerated Computing',)
B254X0	('Accelerated Computing',)
B255X0	('Accelerated Computing',)
B256X0	('Accelerated Computing',)
B257X0	('Accelerated Computing',)
B258X0	('Accelerated Computing',)
B259X0	('Accelerated Computing',)
B260X0	('Accelerated Computing', 'Data', 'Data Center')
B261X0	('Accelerated Computing',)
B262X0	('Accelerated Computing',)
B263X0	('Accelerated Computing',)
B264X0	('Accelerated Computing',)
B265X0	('Accelerated Computing',)
B266X0	('Accelerated Computing', 'Data')
B267X0	('Accelerated Computing',)
B268X0	('Accelerated Computing',)
B269X0	('Accelerated Computing',)
B270X0	('Accelerated Computing',)
B271X0	('Accelerated Computing',)
B272X0	('Accelerated Computing',)
B273X0	('Accelerated Computing',)
B274X0	('Accelerated Computing',)
B275X0	('Accelerated Computing',)
B276X0	('Accelerated Computing',)
B277X0	('Accelerated Computing',)
B278X0	('Accelerated Computing',)
B279X0	('Accelerated Computing',)
B280X0	('Accelerated Computing',)
B281X0	('Accelerated Computing',)
B282X0	('Accelerated Computing',)
B283X0	('Accelerated Computing',)
B284X0	('Accelerated Computing',)
