probability	['probability']
measure	['measure']
measure~probability	['probability~measure']
likelihood	['likelihood']
likelihood~measure	['measure~likelihood']
likelihood~measure~probability	['probability~measure~likelihood']
event	['event']
event~likelihood	['likelihood~event']
event~likelihood~measure	['measure~likelihood~event']
occurring	['occurring']
event~occurring	['event~occurring']
event~likelihood~occurring	['likelihood~event~occurring']
it	['it']
it~occurring	['occurring~it']
event~it~occurring	['event~occurring~it']
quantified	['quantified']
it~quantified	['it~quantified']
it~occurring~quantified	['occurring~it~quantified']
as	['as']
as~quantified	['quantified~as']
as~it~quantified	['it~quantified~as']
number	['number']
as~number	['as~number']
as~number~quantified	['quantified~as~number']
between	['between']
between~number	['number~between']
as~between~number	['as~number~between']
0	['0']
0~between	['between~0']
0~between~number	['number~between~0']
1	['1']
0~1	['0~1']
0~1~between	['between~0~1']
where	['where']
1~where	['1~where']
0~1~where	['0~1~where', '1~where~0']
0~where	['where~0']
indicates	['indicates']
0~indicates	['0~indicates']
0~indicates~where	['where~0~indicates']
impossibility	['impossibility']
impossibility~indicates	['indicates~impossibility']
0~impossibility~indicates	['0~indicates~impossibility']
1~impossibility	['impossibility~1']
1~impossibility~indicates	['indicates~impossibility~1', 'impossibility~1~indicates']
1~indicates	['1~indicates']
certainty	['certainty']
certainty~indicates	['indicates~certainty']
1~certainty~indicates	['1~indicates~certainty']
higher	['higher']
certainty~higher	['certainty~higher']
certainty~higher~indicates	['indicates~certainty~higher']
higher~probability	['higher~probability']
certainty~higher~probability	['certainty~higher~probability']
event~probability	['probability~event']
event~higher~probability	['higher~probability~event']
more	['more']
event~more	['event~more']
event~more~probability	['probability~event~more']
likely	['likely']
likely~more	['more~likely']
event~likely~more	['event~more~likely']
it~likely	['likely~it']
it~likely~more	['more~likely~it']
that	['that']
it~that	['it~that']
it~likely~that	['likely~it~that']
event~that	['that~event']
event~it~that	['it~that~event']
will	['will']
event~will	['event~will']
event~that~will	['that~event~will']
occur	['occur']
occur~will	['will~occur']
event~occur~will	['event~will~occur']
statistics	['statistics']
discipline	['discipline']
discipline~statistics	['statistics~discipline']
discipline~that	['discipline~that']
discipline~statistics~that	['statistics~discipline~that']
concerns	['concerns']
concerns~that	['that~concerns']
concerns~discipline~that	['discipline~that~concerns']
collection	['collection']
collection~concerns	['concerns~collection']
collection~concerns~that	['that~concerns~collection']
organization	['organization']
collection~organization	['collection~organization']
collection~concerns~organization	['concerns~collection~organization']
analysis	['analysis']
analysis~organization	['organization~analysis']
analysis~collection~organization	['collection~organization~analysis']
interpretation	['interpretation']
analysis~interpretation	['analysis~interpretation']
analysis~interpretation~organization	['organization~analysis~interpretation']
presentation	['presentation']
interpretation~presentation	['interpretation~presentation']
analysis~interpretation~presentation	['analysis~interpretation~presentation']
data	['data']
data~presentation	['presentation~data']
data~interpretation~presentation	['interpretation~presentation~data']
statistical	['statistical']
data~statistical	['data~statistical']
data~presentation~statistical	['presentation~data~statistical']
analysis~statistical	['statistical~analysis']
analysis~data~statistical	['data~statistical~analysis']
often	['often']
analysis~often	['analysis~often']
analysis~often~statistical	['statistical~analysis~often']
uses	['uses']
often~uses	['often~uses']
analysis~often~uses	['analysis~often~uses']
probability~uses	['uses~probability']
often~probability~uses	['often~uses~probability']
theory	['theory']
probability~theory	['probability~theory']
probability~theory~uses	['uses~probability~theory']
essential	['essential']
essential~theory	['theory~essential']
essential~probability~theory	['probability~theory~essential']
data~essential	['essential~data']
data~essential~theory	['theory~essential~data']
science	['science']
data~science	['data~science']
data~essential~science	['essential~data~science']
normal	['normal']
distribution	['distribution']
distribution~normal	['normal~distribution', 'distribution~normal']
continuous	['continuous']
continuous~distribution	['distribution~continuous']
continuous~distribution~normal	['normal~distribution~continuous']
continuous~probability	['continuous~probability']
continuous~distribution~probability	['distribution~continuous~probability', 'continuous~probability~distribution']
distribution~probability	['probability~distribution']
distribution~it	['distribution~it']
distribution~it~probability	['probability~distribution~it']
also	['also']
also~it	['it~also']
also~distribution~it	['distribution~it~also']
called	['called']
also~called	['also~called']
also~called~it	['it~also~called']
gaussian	['gaussian']
called~gaussian	['called~gaussian']
also~called~gaussian	['also~called~gaussian']
distribution~gaussian	['gaussian~distribution']
called~distribution~gaussian	['called~gaussian~distribution']
distribution~gaussian~normal	['gaussian~distribution~normal']
distribution~distribution~normal	['distribution~normal~distribution']
important	['important']
distribution~important	['distribution~important']
distribution~important~normal	['normal~distribution~important']
important~statistics	['important~statistics']
distribution~important~statistics	['distribution~important~statistics']
often~statistics	['statistics~often']
