probability	{'Mathematics': 3, 'Statistics': 1, 'Probability': 1}
measure	{'Mathematics': 1}
probability~measure	{'Mathematics': 1}
likelihood	{'Mathematics': 1}
measure~likelihood	{'Mathematics': 1}
probability~measure~likelihood	{'Mathematics': 1}
event	{'Mathematics': 3, 'Probability': 2}
likelihood~event	{'Mathematics': 1}
measure~likelihood~event	{'Mathematics': 1}
occurring	{'Mathematics': 1}
event~occurring	{'Mathematics': 1}
likelihood~event~occurring	{'Mathematics': 1}
it	{'Mathematics': 2, 'Statistics': 1, 'Probability': 1, 'Computer Science': 1}
occurring~it	{'Mathematics': 1}
event~occurring~it	{'Mathematics': 1}
quantified	{'Mathematics': 1}
it~quantified	{'Mathematics': 1}
occurring~it~quantified	{'Mathematics': 1}
as	{'Mathematics': 1}
quantified~as	{'Mathematics': 1}
it~quantified~as	{'Mathematics': 1}
number	{'Mathematics': 1}
as~number	{'Mathematics': 1}
quantified~as~number	{'Mathematics': 1}
between	{'Mathematics': 1}
number~between	{'Mathematics': 1}
as~number~between	{'Mathematics': 1}
0	{'Mathematics': 2}
between~0	{'Mathematics': 1}
number~between~0	{'Mathematics': 1}
1	{'Mathematics': 2}
0~1	{'Mathematics': 1}
between~0~1	{'Mathematics': 1}
where	{'Mathematics': 1}
1~where	{'Mathematics': 1}
0~1~where	{'Mathematics': 1}
where~0	{'Mathematics': 1}
1~where~0	{'Mathematics': 1}
indicates	{'Mathematics': 2}
0~indicates	{'Mathematics': 1}
where~0~indicates	{'Mathematics': 1}
impossibility	{'Mathematics': 1}
indicates~impossibility	{'Mathematics': 1}
0~indicates~impossibility	{'Mathematics': 1}
impossibility~1	{'Mathematics': 1}
indicates~impossibility~1	{'Mathematics': 1}
1~indicates	{'Mathematics': 1}
impossibility~1~indicates	{'Mathematics': 1}
certainty	{'Mathematics': 1}
indicates~certainty	{'Mathematics': 1}
1~indicates~certainty	{'Mathematics': 1}
higher	{'Mathematics': 1}
certainty~higher	{'Mathematics': 1}
indicates~certainty~higher	{'Mathematics': 1}
higher~probability	{'Mathematics': 1}
certainty~higher~probability	{'Mathematics': 1}
probability~event	{'Mathematics': 1, 'Probability': 1}
higher~probability~event	{'Mathematics': 1}
more	{'Mathematics': 1}
event~more	{'Mathematics': 1}
probability~event~more	{'Mathematics': 1}
likely	{'Mathematics': 1}
more~likely	{'Mathematics': 1}
event~more~likely	{'Mathematics': 1}
likely~it	{'Mathematics': 1}
more~likely~it	{'Mathematics': 1}
that	{'Mathematics': 2, 'Probability': 1, 'Computer Science': 1}
it~that	{'Mathematics': 1}
likely~it~that	{'Mathematics': 1}
that~event	{'Mathematics': 1}
it~that~event	{'Mathematics': 1}
will	{'Mathematics': 1}
event~will	{'Mathematics': 1}
that~event~will	{'Mathematics': 1}
occur	{'Mathematics': 1}
will~occur	{'Mathematics': 1}
event~will~occur	{'Mathematics': 1}
statistics	{'Mathematics': 1, 'Statistics': 1, 'Probability': 1, 'Computer Science': 1}
discipline	{'Mathematics': 1}
