investor	('investor', 'investors')
present	('presentation', 'present', 'presented', 'presentations', 'presents', 'presently')
q2	('q2',)
fy24	('fy24',)
august	('august',)
28	('28',)
2023	('2023',)
except	('except', 'exceptional', 'exception', 'exceptions')
histor	('historical', 'historically')
inform	('information', 'informs', 'informational', 'informed')
contain	('contained', 'contains', 'contain', 'containing', 'containment')
herein	('herein',)
certain	('certain',)
matter	('matters', 'matter')
includ	('including', 'include', 'includes', 'includible')
not	('not',)
limit	('limited', 'limitations', 'limit', 'limits', 'limitation', 'limiting')
statement	('statements', 'statement')
financi	('financial', 'financials')
posit	('position', 'positioned', 'positions', 'positive', 'positioning')
market	('markets', 'market', 'marketable', 'marketers', 'marketing', 'marketed')
opportun	('opportunity', 'opportunities')
demand	('demand', 'demands', 'demanding')
growth	('growth',)
driver	('drivers', 'driver')
csp	('csps', 'csp')
undertak	('undertaking', 'undertake')
gener	('generational', 'generative', 'generating', 'generation', 'generate', 'generates', 'general', 'generally', 'generations', 'generated')
transit	('transition', 'transitioned', 'transitioning', 'transitions')
updat	('update', 'updated', 'updates', 'updating')
infrastructur	('infrastructure',)
new	('new',)
era	('era', 'eras')
acceler	('accelerated', 'acceleration', 'accelerating', 'accelerate', 'accelerates', 'accelerator')
comput	('computing', 'compute', 'computers', 'computer', 'computation', 'computational', 'computationally', 'computed', 'computations')
ai	('ai', 'ais')
enterpris	('enterprises', 'enterprise')
race	('racing', 'race', 'races')
adopt	('adopt', 'adoption', 'adopted', 'adopts', 'adopting')
belief	('belief', 'beliefs')
global	('global', 'globally')
end	('end', 'ends', 'ended', 'ending')
game	('gaming', 'games', 'game', 'gamings')
ha	('has',)
return	('returned', 'returns', 'return', 'returning')
grow	('growing', 'grows', 'grow')
number	('number', 'numbers')
gpu	('gpu', 'gpus')
cloud	('cloud', 'clouds')
provid	('providers', 'providing', 'provider', 'providence')
deploy	('deploying', 'deploy', 'deployed', 'deployment')
volum	('volume', 'volumes')
hgx	('hgx',)
system	('systems', 'system')
base	('based', 'base', 'bases')
hopper	('hopper',)
amper	('ampere',)
architectur	('architecture', 'architectures', 'architectural')
expect	('expectation', 'expected', 'expectations', 'expect', 'expects')
data	('data',)
center	('center', 'centers')
suppli	('supply',)
increas	('increase', 'increased', 'increases', 'increasing')
each	('each',)
quarter	('quarter', 'quarters')
next	('next',)
year	('year', 'years')
larg	('large', 'largely')
upgrad	('upgrade', 'upgraded', 'upgrades')
ahead	('ahead',)
likelihood	('likelihood',)
season	('seasonality', 'season', 'seasoned', 'seasonal')
overal	('overall',)
shift	('shift', 'shifts', 'shifting')
rtx	('rtx',)
dlss	('dlss',)
ecosystem	('ecosystem', 'ecosystems')
continu	('continuing', 'continues', 'continued', 'continue', 'continuous', 'continuity', 'continuation', 'continuously', 'continually')
expand	('expand', 'expanding', 'expanded', 'expands')
time	('timing', 'time', 'times', 'timely')
desktop	('desktop', 'desktops')
workstat	('workstation', 'workstations')
refresh	('refresh', 'refreshment')
profession	('professional', 'professionals')
visual	('visualization', 'visual')
technolog	('technology', 'technologies', 'technological')
impact	('impact', 'impactful', 'impacts', 'impacted', 'impacting')
partnership	('partnership', 'partnerships')
mediatek	('mediatek', 'mediateks')
outlook	('outlook',)
sequenti	('sequential', 'sequentially')
driven	('driven',)
also	('also',)
contribut	('contributing', 'contributions', 'contribution', 'contribute', 'contributes', 'contributed')
tax	('tax', 'taxes', 'taxed', 'taxing')
rate	('rates', 'rate', 'rating', 'rated', 'ratings')
third	('third',)
fiscal	('fiscal',)
2024	('2024',)
benefit	('benefits', 'benefiting', 'benefit', 'benefited')
perform	('performance', 'perform', 'performing', 'performed')
featur	('features', 'featuring', 'feature', 'featured')
avail	('availability', 'available')
product	('products', 'production', 'product', 'productivity')
collabor	('collaborations', 'collaborating', 'collaborative', 'collaborate', 'collaboration')
nvidia	('nvidia', 'nvidias')
be	('being',)
broadli	('broadly',)
recogn	('recognized', 'recognizing', 'recognize', 'recognizes')
way	('way', 'ways')
advanc	('advance', 'advanced', 'advancing', 'advances', 'advancement')
moor	('moores', 'moore')
law	('law', 'laws', 'lawful', 'lawfully')
need	('needed', 'needs', 'need', 'needing')
tackl	('tackle',)
most	('most',)
valu	('value', 'valued', 'values', 'valuing')
everi	('every',)
stakehold	('stakeholder', 'stakeholders')
greatest	('greatest',)
forc	('force', 'forces')
unlock	('unlocking', 'unlock', 'unlocks')
industri	('industries', 'industrial', 'industry', 'industrys')
becom	('becoming', 'become', 'becomes')
factori	('factories', 'factory')
wave	('wave', 'waves')
robot	('robotics', 'robotic', 'robots', 'robot')
digit	('digitalization', 'digital', 'digitally', 'digitalize')
omnivers	('omniverse',)
essenti	('essential', 'essentially')
stack	('stacks', 'stack')
help	('helping', 'helps', 'help', 'helped')
bring	('bring', 'bringing', 'brings')
world	('worlds', 'world')
largest	('largest',)
expertis	('expertise',)
scale	('scale', 'scaling', 'scaled', 'scales')
revolution	('revolutionize', 'revolutionizing', 'revolutionized', 'revolutionizes')
busi	('businesses', 'business')
softwar	('software',)
servic	('services', 'service')
enabl	('enabling', 'enables', 'enable', 'enabler', 'enabled')
cost	('cost', 'costs')
time-to-solut	('time-to-solution',)
save	('savings', 'save', 'saved')
applic	('application', 'applications', 'applicable')
speed-up	('speed-ups', 'speed-up')
dividend	('dividend', 'dividends')
program	('program', 'programming', 'programs')
plan	('plan', 'planning', 'plans', 'planned')
automot	('automotive',)
design	('design', 'designed', 'designing', 'designers', 'designation', 'designated', 'designs', 'designate', 'designer')
win	('win', 'wins')
pipelin	('pipeline', 'pipelines')
ramp	('ramp', 'ramping', 'ramped')
aim	('aim', 'aimed')
engag	('engage', 'engagement', 'engaging', 'engaged', 'engages')
manufactur	('manufacturing', 'manufacture', 'manufacturers', 'manufacturer', 'manufactured')
supplier	('suppliers', 'supplier')
goal	('goal', 'goals')
