probability	{'0': 2, '1': 1, '2': 1, '3': 1}
measure	{'0': 1}
probability~measure	{'0': 1}
likelihood	{'0': 1}
measure~likelihood	{'0': 1}
probability~measure~likelihood	{'0': 1}
event	{'0': 3, '3': 2}
likelihood~event	{'0': 1}
measure~likelihood~event	{'0': 1}
occurring	{'0': 1}
event~occurring	{'0': 1}
likelihood~event~occurring	{'0': 1}
it	{'0': 2, '2': 1, '3': 1, '4': 1}
occurring~it	{'0': 1}
event~occurring~it	{'0': 1}
quantified	{'0': 1}
it~quantified	{'0': 1}
occurring~it~quantified	{'0': 1}
as	{'0': 1}
quantified~as	{'0': 1}
it~quantified~as	{'0': 1}
number	{'0': 1}
as~number	{'0': 1}
quantified~as~number	{'0': 1}
between	{'0': 1}
number~between	{'0': 1}
as~number~between	{'0': 1}
0	{'0': 2}
between~0	{'0': 1}
number~between~0	{'0': 1}
1	{'0': 2}
0~1	{'0': 1}
between~0~1	{'0': 1}
where	{'0': 1}
1~where	{'0': 1}
0~1~where	{'0': 1}
where~0	{'0': 1}
1~where~0	{'0': 1}
indicates	{'0': 2}
0~indicates	{'0': 1}
where~0~indicates	{'0': 1}
impossibility	{'0': 1}
indicates~impossibility	{'0': 1}
0~indicates~impossibility	{'0': 1}
impossibility~1	{'0': 1}
indicates~impossibility~1	{'0': 1}
1~indicates	{'0': 1}
impossibility~1~indicates	{'0': 1}
certainty	{'0': 1}
indicates~certainty	{'0': 1}
1~indicates~certainty	{'0': 1}
higher	{'0': 1}
certainty~higher	{'0': 1}
indicates~certainty~higher	{'0': 1}
higher~probability	{'0': 1}
certainty~higher~probability	{'0': 1}
probability~event	{'0': 1, '3': 1}
higher~probability~event	{'0': 1}
more	{'0': 1}
event~more	{'0': 1}
probability~event~more	{'0': 1}
likely	{'0': 1}
more~likely	{'0': 1}
event~more~likely	{'0': 1}
likely~it	{'0': 1}
more~likely~it	{'0': 1}
that	{'0': 1, '1': 1, '3': 1, '4': 1}
it~that	{'0': 1}
likely~it~that	{'0': 1}
that~event	{'0': 1}
it~that~event	{'0': 1}
will	{'0': 1}
event~will	{'0': 1}
that~event~will	{'0': 1}
occur	{'0': 1}
will~occur	{'0': 1}
event~will~occur	{'0': 1}
